Header Row Count,3,Header Row Count,name,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row number #1,row number #2,row number #3,row number #4,date #1,date #2,date #3,date # 4,date # 5,date # 6,date # 7,date # 8,day of week #1,day of week #2,day of week #3,day of week #4,short string #1,short string #2,short string #3,short string #4,short string #5,short string #6,short string #7,short string #8,gender #1,gender #2,gender #3,gender #4,ss #1,ss #2,url #1,url #2,y or n #1,y or n #2,y or n #3,y or n #4,short int #1,short int #2,short int #3,short int #4,short int #5,short int #6,short int #7,short int #8,short int #9,short int #10,short int #11,short int #12,long string #1,long string #2,long string #3,long string #4,long string #5,long string #6,long string #7,long string #8,float #1,float #2,float #3,float #4,float #5,float #6,float #7,float #8
80,80,100080,Record # :080,3/21/13,11/12/13,12/13/13,3/21/13,11/12/13,12/13/13,3/21/13,3/21/13,Thursday,Thu,BadDay,Thu,AAAA,EEEE,VVVV,aaaa,eeee,vvvv,AAAA,eeee,f,g,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,x,20,999,1020,9999,1313,3135,11356,83567,12424,24246,42467,124678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,AAAA-EEEE-VVVV-aaaa,0.08,1.079,1.079,10.089,0.08,1.079,0.179,10.089
81,81,100081,Record # :081,3/22/13,11/12/13,11/12/13,3/22/13,11/12/13,11/12/13,3/22/13,3/22/13,Friday,Fri,Friday,Fri,AAAA,FFFF,UUUU,aaaa,ffff,uuuu,AAAA,ffff,m,m,m,m,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,1,1,1001,1001,1314,3145,11456,84567,12425,24256,42567,125678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-FFFF-UUUU-aaaa,0.081,1.08,1.08,10.09,0.081,1.08,0.18,10.09
82,82,100082,Record # :082,3/23/13,11/12/13,11/12/13,3/23/13,11/12/13,11/12/13,3/23/13,3/23/13,Saturday,Sat,Saturday,Sat,AAAA,GGGG,TTTT,aaaa,gggg,tttt,AAAA,gggg,f,f,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,2,2,1002,1002,1315,3155,11556,85567,12426,24266,42667,126678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-GGGG-TTTT-aaaa,0.082,1.081,1.081,10.091,0.082,1.081,0.181,10.091
83,83,100083,Record # :083,3/24/13,11/12/13,11/12/13,3/24/13,11/12/13,11/12/13,3/24/13,3/24/13,Sunday,Sun,Sunday,Sun,AAAA,HHHH,SSSS,aaaa,hhhh,ssss,AAAA,hhhh,m,b,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,yes,y,3,3,1003,1003,1316,3165,11656,86567,12427,24276,42767,127678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-HHHH-SSSS-aaaa,0.083,1.082,1.082,10.092,0.083,1.082,0.182,10.092
84,84,100084,Record # :084,3/25/13,11/12/13,11/12/13,3/25/13,11/12/13,11/12/13,3/25/13,3/25/13,Monday,Mon,Monday,Mon,AAAA,IIII,RRRR,aaaa,iiii,rrrr,AAAA,iiii,f,g,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,no,n,4,4,1004,1004,1317,3175,11756,87567,12428,24286,42867,128678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-IIII-RRRR-aaaa,0.084,1.083,1.083,10.093,0.084,1.083,0.183,10.093
85,85,100085,Record # :085,3/26/13,11/12/13,11/12/13,3/26/13,11/12/13,11/12/13,3/26/13,3/26/13,Tuesday,Tue,Tuesday,Tue,AAAA,JJJJ,QQQQ,aaaa,jjjj,qqqq,AAAA,jjjj,m,m,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,1,y,5,5,1005,1005,1318,3185,11856,88567,12429,24296,42967,129678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-JJJJ-QQQQ-aaaa,0.085,1.084,1.084,10.094,0.085,1.084,0.184,10.094
86,86,100086,Record # :086,3/27/13,11/12/13,11/12/13,3/27/13,11/12/13,11/12/13,3/27/13,3/27/13,Wednesday,Wed,Wednesday,Wed,AAAA,KKKK,PPPP,aaaa,kkkk,pppp,AAAA,kkkk,f,f,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,0,n,6,6,1006,1006,1319,3195,11956,89567,12430,24306,43067,130678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-KKKK-PPPP-aaaa,0.086,1.085,1.085,10.095,0.086,1.085,0.185,10.095
87,87,100087,Record # :087,3/28/13,11/12/13,11/12/13,3/28/13,11/12/13,11/12/13,3/28/13,3/28/13,Thursday,Thu,Thursday,Thu,AAAA,LLLL,OOOO,aaaa,llll,oooo,AAAA,llll,m,b,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,7,7,1007,1007,1320,3205,12056,90567,12431,24316,43167,131678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Senior,AAAA-LLLL-OOOO-aaaa,0.087,1.086,1.086,10.096,0.087,1.086,0.186,10.096
88,88,100088,Record # :088,3/29/13,11/12/13,11/12/13,3/29/13,11/12/13,11/12/13,3/29/13,3/29/13,Friday,Fri,Friday,Fri,AAAA,MMMM,NNNN,aaaa,mmmm,nnnn,AAAA,mmmm,f,g,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,8,8,1008,1008,1321,3215,12156,91567,12432,24326,43267,132678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Junior,AAAA-MMMM-NNNN-aaaa,0.088,1.087,1.087,10.097,0.088,1.087,0.187,10.097
89,89,100089,Record # :089,3/30/13,11/12/13,11/12/13,3/30/13,11/12/13,11/12/13,3/30/13,3/30/13,Saturday,Sat,Saturday,Sat,AAAA,NNNN,MMMM,aaaa,nnnn,mmmm,AAAA,nnnn,m,m,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,9,9,1009,1009,1322,3225,12256,92567,12433,24336,43367,133678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,AAAA-NNNN-MMMM-aaaa,0.089,1.088,1.088,10.098,0.089,1.088,0.188,10.098
90,90,100090,Record # :090,3/31/13,11/12/13,12/13/13,3/31/13,11/12/13,12/13/13,3/31/13,3/31/13,Sunday,Sun,BadDay,Sun,AAAA,OOOO,LLLL,aaaa,oooo,llll,AAAA,oooo,f,f,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,x,10,10,1010,1010,1323,3235,12356,93567,12434,24346,43467,134678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,AAAA-OOOO-LLLL-aaaa,0.09,1.089,1.089,10.099,0.09,1.089,0.189,10.099
91,91,100091,Record # :091,4/1/13,11/12/13,11/12/13,4/1/13,11/12/13,11/12/13,4/1/13,4/1/13,Monday,Mon,Monday,Mon,AAAA,PPPP,KKKK,aaaa,pppp,kkkk,AAAA,pppp,m,b,m,m,333-22-444,22-333-4444,http://www.wirelessgeneration.com,not a URL at all,y,1,y,y,11,11,1011,1011,1324,3245,12456,94567,12435,24356,43567,135678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-PPPP-KKKK-aaaa,0.091,1.09,1.09,10.1,0.091,1.09,0.19,10.1
92,92,100092,Record # :092,4/2/13,11/12/13,11/12/13,4/2/13,11/12/13,11/12/13,4/2/13,4/2/13,Tuesday,Tue,Tuesday,Tue,AAAA,QQQQ,JJJJ,aaaa,qqqq,jjjj,AAAA,qqqq,f,g,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,12,12,1012,1012,1325,3255,12556,95567,12436,24366,43667,136678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-QQQQ-JJJJ-aaaa,0.092,1.091,1.091,10.101,0.092,1.091,0.191,10.101
93,93,100093,Record # :093,4/3/13,11/12/13,11/12/13,4/3/13,11/12/13,11/12/13,4/3/13,4/3/13,Wednesday,Wed,Wednesday,Wed,AAAA,RRRR,IIII,aaaa,rrrr,iiii,AAAA,rrrr,m,m,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,yes,y,13,13,1013,1013,1326,3265,12656,96567,12437,24376,43767,137678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-RRRR-IIII-aaaa,0.093,1.092,1.092,10.102,0.093,1.092,0.192,10.102
94,94,100094,Record # :094,4/4/13,11/12/13,11/12/13,4/4/13,11/12/13,11/12/13,4/4/13,4/4/13,Thursday,Thu,Thursday,Thu,AAAA,SSSS,HHHH,aaaa,ssss,hhhh,AAAA,ssss,f,f,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,no,n,14,14,1014,1014,1327,3275,12756,97567,12438,24386,43867,138678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-SSSS-HHHH-aaaa,0.094,1.093,1.093,10.103,0.094,1.093,0.193,10.103
95,95,100095,Record # :095,4/5/13,11/12/13,11/12/13,4/5/13,11/12/13,11/12/13,4/5/13,4/5/13,Friday,Fri,Friday,Fri,AAAA,TTTT,GGGG,aaaa,tttt,gggg,AAAA,tttt,m,b,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,1,y,15,15,1015,1015,1328,3285,12856,98567,12439,24396,43967,139678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-TTTT-GGGG-aaaa,0.095,1.094,1.094,10.104,0.095,1.094,0.194,10.104
96,96,100096,Record # :096,4/6/13,11/12/13,11/12/13,4/6/13,11/12/13,11/12/13,4/6/13,4/6/13,Saturday,Sat,Saturday,Sat,AAAA,UUUU,FFFF,aaaa,uuuu,ffff,AAAA,uuuu,f,g,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,0,n,16,16,1016,1016,1329,3295,12956,99567,12440,24406,44067,140678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-UUUU-FFFF-aaaa,0.096,1.095,1.095,10.105,0.096,1.095,0.195,10.105
97,97,100097,Record # :097,4/7/13,11/12/13,11/12/13,4/7/13,11/12/13,11/12/13,4/7/13,4/7/13,Sunday,Sun,Sunday,Sun,AAAA,VVVV,EEEE,aaaa,vvvv,eeee,AAAA,vvvv,m,m,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,17,17,1017,1017,1330,3305,13056,100567,12441,24416,44167,141678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Senior,AAAA-VVVV-EEEE-aaaa,0.097,1.096,1.096,10.106,0.097,1.096,0.196,10.106
98,98,100098,Record # :098,4/8/13,11/12/13,11/12/13,4/8/13,11/12/13,11/12/13,4/8/13,4/8/13,Monday,Mon,Monday,Mon,AAAA,WWWW,DDDD,aaaa,wwww,dddd,AAAA,wwww,f,f,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,18,18,1018,1018,1331,3315,13156,101567,12442,24426,44267,142678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Junior,AAAA-WWWW-DDDD-aaaa,0.098,1.097,1.097,10.107,0.098,1.097,0.197,10.107
99,99,100099,Record # :099,4/9/13,11/12/13,11/12/13,4/9/13,11/12/13,11/12/13,4/9/13,4/9/13,Tuesday,Tue,Tuesday,Tue,AAAA,XXXX,CCCC,aaaa,xxxx,cccc,AAAA,xxxx,m,b,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,19,19,1019,1019,1332,3325,13256,102567,12443,24436,44367,143678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,AAAA-XXXX-CCCC-aaaa,0.099,1.098,1.098,10.108,0.099,1.098,0.198,10.108
100,100,100100,Record # :100,4/10/13,11/12/13,12/13/13,4/10/13,11/12/13,12/13/13,4/10/13,4/10/13,Wednesday,Wed,BadDay,Wed,AAAA,YYYY,BBBB,aaaa,yyyy,bbbb,notuc,NOLC,f,g,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,x,20,999,1020,9999,1333,3335,13356,103567,12444,24446,44467,144678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,AAAA-YYYY-BBBB-aaaa,0.1,1.099,1.099,10.109,0.1,1.099,0.199,10.109
